product_name,product_deeplink,product_category,product_image,id
Juhlava joulukuha,${CLICK_URL}https://hatala.fi/kalareseptit/juhlava-joulukuha/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2020/12/joulukuha-1920x1080-1-1920x1080.jpg,17
Hatalan taytetty jouluhauki,${CLICK_URL}https://hatala.fi/kalareseptit/hatalan-taytetty-jouluhauki/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/11/Jouluhauki-1920x1080-1.jpg,18
Mausteiset joulusilakat,${CLICK_URL}https://hatala.fi/kalareseptit/mausteiset-joulusilakat/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/12/Mausteiset-joulusilakat-reseptikuva-peggy-thomas-960x650.jpg,30
Lipeakala perinteiseen tapaan,${CLICK_URL}https://hatala.fi/kalareseptit/lipeakala-perinteiseen-tapaan/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/03/lipeakala-perinteiseen-tapaan-1920x1080.jpg,117
Lippiscake,${CLICK_URL}https://hatala.fi/kalareseptit/lippiscake/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2021/11/Lippiscake-reseptikuva-hatala-1920px-1920x1080.jpg,118
Lohipastrami punajuurisalaatilla,${CLICK_URL}https://hatala.fi/kalareseptit/lohipastrami-punajuurisalaatilla/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2020/04/Lohipastrami-savuinen-punajuuri-1920x1080-1-1920x1080.jpg,132
Juhlava uunilohi,${CLICK_URL}https://hatala.fi/kalareseptit/juhlava-uunilohi/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/11/juhlava_uunilohi_resepti.jpg,133
Joululohi,${CLICK_URL}https://hatala.fi/kalareseptit/joululohi/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/04/Peggyn-Joululohi-reseptikuva.jpg,136
Loimulohi vuohenjuustosalaatti,${CLICK_URL}https://hatala.fi/kalareseptit/loimulohi-vuohenjuustosalaatti/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/11/Loimulohi-vuohenjuustosalaatti_header.jpg,191
Ginigraavattu lohi,${CLICK_URL}https://hatala.fi/kalareseptit/ginigraavattu-lohi/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2022/11/Ginigraavattu-lohi-1920x1080-copy-1920x1080.jpg,243
Lohitartar,${CLICK_URL}https://hatala.fi/kalareseptit/lohitartar/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2022/12/Lohitartar-3-1920x1080-1-1920x1080.jpg,246
Marinoitu graavisiika,${CLICK_URL}https://hatala.fi/kalareseptit/marinoitu-graavisiika/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2022/12/Marinoitua-graavisiikaa-1920x1080px-1-1920x1080.jpg,247
Graavisiikaleipaset,${CLICK_URL}https://hatala.fi/kalareseptit/graavisiikaleipaset/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2023/05/hatala_leipaset_graavisiika_kesapoyta_tiukka_1920x1080-1920x1080.jpg,272
Graavilohi ruotsalaiseen tapaan,${CLICK_URL}https://hatala.fi/kalareseptit/graavilohi-ruotsalaiseen-tapaan/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2019/06/Graavilohi-matin-tapaan-1920x1080.jpg,274
Lohipaisti,${CLICK_URL}https://hatala.fi/kalareseptit/lohipaisti/?utm_source=adform&utm_medium=banner&utm_campaign=reseptimainos,focus,https://hatala.fi/wp-content/uploads/2022/10/Juhlapaisti-1920x1080-flip-1920x1080.jpg,280